Acceleration Data 
Time [ms], x [m/s²], y [m/s²], z [m/s²] 
1688905827029,1.5,0.9,2.2
1688905827045,1,0,2.4000000000000004
1688905827062,0.1,1,1.7000000000000002
1688905827079,-0.2,2.7,0.2
1688905827095,-0.1,3.6,-1.1
1688905827113,-1.5,3.9000000000000004,-1.1
1688905827129,-1.6,4.2,2
1688905827145,-1.7000000000000002,4.800000000000001,4.3
1688905827162,-1.7000000000000002,4.9,4.7
1688905827178,-4.1000000000000005,5.300000000000001,3.4000000000000004
1688905827195,-4.1000000000000005,5.300000000000001,3.4000000000000004
1688905827212,-7.2,5,3.5
1688905827229,-7.2,5.4,5.7
1688905827245,-6.7,5.9,7.7
1688905827262,-6.4,5.800000000000001,8.8
1688905827279,-6.5,4.1000000000000005,9.1
1688905827295,-8.200000000000001,2.3000000000000003,9.1
1688905827312,-8.4,0.4,7.9
1688905827329,-7,-0.2,5.800000000000001
1688905827345,-4.4,0.30000000000000004,4.3
1688905827362,-2.1,1.1,3.4000000000000004
1688905827378,-0.8,0.6000000000000001,0.8
1688905827395,-0.8,0.6000000000000001,0.8
1688905827412,-0.6000000000000001,0.2,1.4000000000000001
1688905827429,-1.5,-2.3000000000000003,4.9
1688905827445,-2.7,-3.8000000000000003,3.5
1688905827462,-3.5,-4.7,1.1
1688905827478,-3.5,-4.7,1.1
1688905827495,-2.5,-5.7,-2.1
1688905827512,-2,-5.9,-2.4000000000000004
1688905827529,-2.2,-6.2,-1.2000000000000002
1688905827545,-2.3000000000000003,-6.9,1.1
1688905827563,-2,-7.5,2.4000000000000004
1688905827579,-1.7000000000000002,-8.1,2.5
1688905827595,-1.5,-8.4,1.1
1688905827612,-1.3,-8.700000000000001,-0.4
1688905827631,-0.8,-8.6,-1.4000000000000001
1688905827645,-0.7000000000000001,-8.700000000000001,-1.1
1688905827662,-0.8,-8.4,1.3
1688905827679,-0.2,-8.5,2.9000000000000004
1688905827696,0.6000000000000001,-8.5,3.8000000000000003
1688905827712,1.4000000000000001,-8.4,3.6
1688905827728,1.2000000000000002,-8.3,1.7000000000000002
1688905827745,1.2000000000000002,-8.3,0
1688905827763,0.7000000000000001,-8.4,-0.6000000000000001
1688905827779,0.7000000000000001,-8.6,0
1688905827795,3.2,-7,4
1688905827812,3.2,-7,4
1688905827828,4.800000000000001,-5.1000000000000005,3.1
1688905827845,3,-4.4,0.1
1688905827862,3.2,-4.2,-0.4
1688905827878,4.2,-3.7,0.2
1688905827895,4.6000000000000005,-3.1,1.6
1688905827912,3.7,-2.3000000000000003,3.7
1688905827928,4.800000000000001,-1.3,6.6000000000000005
1688905827946,5.300000000000001,-0.4,8.1
1688905827962,5.6000000000000005,1.2000000000000002,7.9
1688905827978,5.4,3.2,4.7
1688905827995,5.9,3.7,0.8
1688905828012,4.9,3.7,0.2
1688905828029,5,2.9000000000000004,4.2
1688905828045,3.4000000000000004,3,7.5
1688905828062,-1,4,8.6
1688905828079,-1.5,6.2,7.9
1688905828095,4.9,7.4,8
1688905828112,8.3,8.3,7.300000000000001
1688905828129,8.6,8.4,4.9
1688905828146,7.9,7.300000000000001,2.6
1688905828163,6.300000000000001,5.6000000000000005,1
1688905828180,3,3.3000000000000003,0.1
1688905828196,3,3.3000000000000003,0.1
1688905828212,2.9000000000000004,2.7,2
1688905828229,4.3,2.8000000000000003,2.4000000000000004
1688905828245,4.1000000000000005,2.1,1.1
1688905828262,1.6,1.3,0.2
1688905828279,-0.2,0.5,0.30000000000000004
1688905828296,-1.4000000000000001,0.6000000000000001,1.8
1688905828313,-2.1,1.2000000000000002,2.7
1688905828329,-1,2.2,3
1688905828346,0.2,3.8000000000000003,3.8000000000000003
1688905828362,0.2,4.800000000000001,3.4000000000000004
1688905828379,-2,4.7,3.4000000000000004
1688905828396,-2.5,4.3,3.7
1688905828413,-2.6,4,4.2
1688905828429,-2.7,3.6,3.8000000000000003
1688905828445,-3.1,3.7,3
1688905828462,-3,4,2.9000000000000004
1688905828479,-1.5,3.7,1.9000000000000001
1688905828496,-0.30000000000000004,3.7,1.6
